GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ElasticSearch Java Utilities,com.wirktop.esutils.index,Indexer,59,329,7,19,12,81,8,34,2,27
ElasticSearch Java Utilities,com.wirktop.esutils.index,IndexBatch,12,62,1,5,4,19,3,7,2,5
ElasticSearch Java Utilities,com.wirktop.esutils.search,Search,39,253,1,13,6,54,7,28,6,22
ElasticSearch Java Utilities,com.wirktop.esutils.search,ScrollIterator,5,126,3,9,1,29,3,6,0,3
ElasticSearch Java Utilities,com.wirktop.esutils.search,Scroll,10,88,2,2,2,17,2,7,0,7
ElasticSearch Java Utilities,com.wirktop.esutils.search,SearchIterator,18,129,4,12,4,28,5,8,1,4
ElasticSearch Java Utilities,com.wirktop.esutils,Document,12,30,0,0,6,12,3,5,3,5
ElasticSearch Java Utilities,com.wirktop.esutils,AliasWrappedBucket,5,181,5,5,1,46,4,13,0,12
ElasticSearch Java Utilities,com.wirktop.esutils,DataBucket,0,27,0,2,0,10,0,5,0,4
ElasticSearch Java Utilities,com.wirktop.esutils,ElasticSearchClient,6,160,0,8,1,34,1,14,1,10
ElasticSearch Java Utilities,com.wirktop.esutils,SearchException,4,5,0,0,2,2,1,1,1,1
ElasticSearch Java Utilities,com.wirktop.esutils,Json,0,55,0,0,0,14,0,4,0,4
ElasticSearch Java Utilities,com.wirktop.esutils,Admin,57,441,8,24,7,148,8,28,0,20
